city,ssp,period,adapt,range,an_clim,an_demo,an_full
RO002C,3,2050,90%,tot,-48.8627104571268,438.22902725825,389.366316801123
RO003C,1,2050,0%,cold,-38.7142798970763,444.559733836015,405.845453938939
RO003C,1,2050,0%,heat,47.937859955157,61.3777733509479,109.315633306105
RO003C,1,2050,0%,tot,9.22358005808068,505.937507186963,515.161087245044
RO003C,1,2050,10%,cold,-38.7142798970763,444.559733836015,405.845453938939
RO003C,1,2050,10%,heat,44.3960791132126,56.2016203907726,100.597699503985
RO003C,1,2050,10%,tot,5.68179921613631,500.761354226788,506.443153442924
RO003C,1,2050,50%,cold,-38.7142798970763,444.559733836015,405.845453938939
RO003C,1,2050,50%,heat,28.052232227516,33.6690737393073,61.7213059668232
RO003C,1,2050,50%,tot,-10.6620476695603,478.228807575322,467.566759905762
