URAU_CODE,agegroup,b1,b2,b3,b4,b5
MT,65-74,-0.479071023988737,-0.670118841167577,-0.716550448448975,-0.569075320601475,-0.0651289206297647
MT,75-84,-0.581635818724732,-0.771934460874802,-0.839011875741746,-0.695515553936873,-0.123877044890468
MT,85+,-0.692457285779824,-0.881946442804096,-0.97133169430306,-0.832134480431924,-0.187354511345349
NL,20-44,0.225438429087871,0.0206237877113194,0.158761219297026,0.0615706741572576,0.675658332102846
NL,45-64,0.00265127423670388,-0.200536039033992,-0.107244606930153,-0.21307775580372,0.548048000598994
NL,65-74,-0.125063225975666,-0.327317660526941,-0.259734552649324,-0.370522142532441,0.474894367837549
NL,75-84,-0.227336974400395,-0.428844359843682,-0.381848473307116,-0.496603578645043,0.416312952094169
NL,85+,-0.338137389567547,-0.538835443656598,-0.514143156106681,-0.633196552710412,0.352847543957463
NO,20-44,0.32510760110441,0.236296001648344,0.276661401518656,0.140045033290515,0.382713705938009
NO,45-64,0.0945872951746247,0.00745950990910563,0.00142226359816157,-0.144136701244565,0.250673900152432
NO,65-74,-0.0339396044611485,-0.12012857691102,-0.152037679605797,-0.302582600947801,0.177054932844195
NO,75-84,-0.135956929267469,-0.221400725631886,-0.273845432807371,-0.428347922137854,0.118620394073916
NO,85+,-0.248096771692561,-0.332721452980589,-0.407739379508204,-0.566592120636184,0.0543877749347393
PL,20-44,0.283416858268311,0.117737987865335,0.0863403762203114,0.140827590459043,0.414181475075246
PL,45-64,0.0671007558027317,-0.0969980536962545,-0.171939072615238,-0.125843429946684,0.290277699906095
PL,65-74,-0.062026797711125,-0.225182406973931,-0.326116191058599,-0.285029806113546,0.216314683855225
PL,75-84,-0.16490420319707,-0.327308353994882,-0.448950872728999,-0.411855420965756,0.157387499174906
PL,85+,-0.275761578895346,-0.437355982276007,-0.581313565882009,-0.548518615059984,0.093889464595871
PT,20-44,0.125263708314482,-0.122492623577905,-0.0515657412475895,0.0217709579577955,0.435773988840697
PT,45-64,-0.0872231822778267,-0.333427423389137,-0.305273146112163,-0.240179471488887,0.314063549265211
PT,65-74,-0.220171195898394,-0.465404330577078,-0.464011858997234,-0.404075649577397,0.237912210548071
PT,75-84,-0.323035172304316,-0.567516946609475,-0.586830506468853,-0.530884709275219,0.178992717915144
PT,85+,-0.433845161342982,-0.677517534362449,-0.719136620383483,-0.667489485855782,0.115521825957262
RO,20-44,0.118271430663498,0.0156177109800365,-0.0744736112069573,0.0599452233165877,0.123012035616284
RO,45-64,-0.0944902550201087,-0.19558987670724,-0.328509118898431,-0.202343969109658,0.00114419606538459
RO,65-74,-0.225255280912076,-0.325399741597941,-0.484641364391889,-0.363548994951602,-0.0737567483554529
RO,75-84,-0.328245696433133,-0.427637873182686,-0.607610979011103,-0.490513926761892,-0.132748664092881
RO,85+,-0.429923623434127,-0.52857310319801,-0.729013494335808,-0.615860843783053,-0.190988799076827
SE,20-44,0.255887943267709,0.143799469694802,0.179375414058783,0.109212018426868,0.225588185268092
SE,45-64,0.0199176283302018,-0.0904472219669281,-0.102370984794295,-0.181688399769502,0.0904266669374678
SE,65-74,-0.107092115791792,-0.216529235194987,-0.254019458184262,-0.338263974497564,0.017676711660851
SE,75-84,-0.209165926675466,-0.317857457395895,-0.375894655245815,-0.464098930817479,-0.0407901817892175
SE,85+,-0.321167187638808,-0.429040615538278,-0.509623136948195,-0.602172288313253,-0.104943422804974
SI,20-44,0.425663825766631,0.273465851521554,0.305524914208776,0.483095707842848,0.661474108026653
SI,45-64,0.203261799218938,0.0526883399457513,0.0399789276551982,0.208922057875149,0.534084374296989
SI,65-74,0.0769505333489837,-0.0727002969998664,-0.110835569087149,0.0532075559293692,0.461734500620008
SI,75-84,-0.0264628180374958,-0.175358275154238,-0.234310165263303,-0.074278764429961,0.402500331301903
SI,85+,-0.138443356679924,-0.286520862339979,-0.368013904703951,-0.212326575780995,0.338358959831512
SK,20-44,0.310024329325959,0.142078248609816,0.114429999379681,0.1757094941471,0.410756529909111
SK,45-64,0.0926663521028869,-0.073692057431749,-0.145093438391753,-0.092245932743159,0.286255978937164
SK,65-74,-0.0355574947313004,-0.200979305071366,-0.298191539321052,-0.250318233814973,0.212810597347992
SK,75-84,-0.138387307758431,-0.303058007268203,-0.420969396030707,-0.37708517744756,0.153910673168623
SK,85+,-0.241543026456159,-0.405460234587899,-0.544136381131705,-0.50425389236182,0.0948240733674398
UK,20-44,-0.0562440673386937,-0.151183467197515,-0.118983176807505,-0.253055595643521,-0.0282864390316844
UK,45-64,-0.272283714125209,-0.365645072424903,-0.376932540089542,-0.519385805923729,-0.15203186305678
UK,65-74,-0.403684452456977,-0.496086006252859,-0.533823820424595,-0.681374527861683,-0.227296937425945
UK,75-84,-0.505474682520714,-0.597132719023622,-0.655360424579568,-0.806859890296731,-0.285601398520053
UK,85+,-0.618767970029413,-0.709598466223318,-0.790631574165719,-0.946526037387523,-0.350494699867721
